Frame_Num,Queue_Density,Dynamic_Density
1,0.0892807,0.00190843
2,0.0892807,0.00190843
3,0.0892807,0.00190843
4,0.0935678,0.0427809
5,0.0935678,0.0427809
6,0.0935678,0.0427809
7,0.0935678,0.0427809
8,0.101056,0.0537063
9,0.101056,0.0537063
10,0.101056,0.0537063
11,0.101056,0.0537063
12,0.100492,0.0531264
13,0.100492,0.0531264
14,0.100492,0.0531264
15,0.100492,0.0531264
16,0.10492,0.0595374
17,0.10492,0.0595374
18,0.10492,0.0595374
19,0.10492,0.0595374
20,0.105779,0.0610657
21,0.105779,0.0610657
22,0.105779,0.0610657
23,0.105779,0.0610657
24,0.112844,0.0708704
25,0.112844,0.0708704
26,0.112844,0.0708704
27,0.112844,0.0708704
28,0.121234,0.0828226
29,0.121234,0.0828226
30,0.121234,0.0828226
31,0.121234,0.0828226
32,0.123887,0.0782729
33,0.123887,0.0782729
34,0.123887,0.0782729
35,0.123887,0.0782729
36,0.125051,0.090421
37,0.125051,0.090421
38,0.125051,0.090421
39,0.125051,0.090421
40,0.126662,0.0730532
41,0.126662,0.0730532
42,0.126662,0.0730532
43,0.126662,0.0730532
44,0.126975,0.0769406
45,0.126975,0.0769406
46,0.126975,0.0769406
47,0.126975,0.0769406
48,0.127014,0.0301077
49,0.127014,0.0301077
50,0.127014,0.0301077
51,0.127014,0.0301077
52,0.130584,0.0224936
53,0.130584,0.0224936
54,0.130584,0.0224936
55,0.130584,0.0224936
56,0.132853,0.0252916
57,0.132853,0.0252916
58,0.132853,0.0252916
59,0.132853,0.0252916
60,0.132614,0.0246214
61,0.132614,0.0246214
62,0.132614,0.0246214
63,0.132614,0.0246214
64,0.131744,0.0314597
65,0.131744,0.0314597
66,0.131744,0.0314597
67,0.131744,0.0314597
68,0.136125,0.0348846
69,0.136125,0.0348846
70,0.136125,0.0348846
71,0.136125,0.0348846
72,0.140503,0.0381725
73,0.140503,0.0381725
74,0.140503,0.0381725
75,0.140503,0.0381725
76,0.145374,0.0406217
77,0.145374,0.0406217
78,0.145374,0.0406217
79,0.145374,0.0406217
80,0.156444,0.0558538
81,0.156444,0.0558538
82,0.156444,0.0558538
83,0.156444,0.0558538
84,0.17286,0.0565749
85,0.17286,0.0565749
86,0.17286,0.0565749
87,0.17286,0.0565749
88,0.191658,0.0716973
89,0.191658,0.0716973
90,0.191658,0.0716973
91,0.191658,0.0716973
92,0.201803,0.0835515
93,0.201803,0.0835515
94,0.201803,0.0835515
95,0.201803,0.0835515
96,0.199844,0.0869098
97,0.199844,0.0869098
98,0.199844,0.0869098
99,0.199844,0.0869098
100,0.203175,0.0861143
101,0.203175,0.0861143
102,0.203175,0.0861143
103,0.203175,0.0861143
104,0.203943,0.0886458
105,0.203943,0.0886458
106,0.203943,0.0886458
107,0.203943,0.0886458
108,0.213501,0.0883245
109,0.213501,0.0883245
110,0.213501,0.0883245
111,0.213501,0.0883245
112,0.22755,0.109501
113,0.22755,0.109501
114,0.22755,0.109501
115,0.22755,0.109501
116,0.235422,0.123056
117,0.235422,0.123056
118,0.235422,0.123056
119,0.235422,0.123056
120,0.234254,0.122006
121,0.234254,0.122006
122,0.234254,0.122006
123,0.234254,0.122006
124,0.233949,0.128456
125,0.233949,0.128456
126,0.233949,0.128456
127,0.233949,0.128456
128,0.238036,0.128292
129,0.238036,0.128292
130,0.238036,0.128292
131,0.238036,0.128292
132,0.243134,0.135208
133,0.243134,0.135208
134,0.243134,0.135208
135,0.243134,0.135208
136,0.245474,0.127821
137,0.245474,0.127821
138,0.245474,0.127821
139,0.245474,0.127821
140,0.25085,0.12027
141,0.25085,0.12027
142,0.25085,0.12027
143,0.25085,0.12027
144,0.247245,0.147278
145,0.247245,0.147278
146,0.247245,0.147278
147,0.247245,0.147278
148,0.247982,0.100249
149,0.247982,0.100249
150,0.247982,0.100249
151,0.247982,0.100249
152,0.24433,0.0621708
153,0.24433,0.0621708
154,0.24433,0.0621708
155,0.24433,0.0621708
156,0.240705,0.0999553
157,0.240705,0.0999553
158,0.240705,0.0999553
159,0.240705,0.0999553
160,0.234309,0.0826894
161,0.234309,0.0826894
162,0.234309,0.0826894
163,0.234309,0.0826894
164,0.228623,0.0822073
165,0.228623,0.0822073
166,0.228623,0.0822073
167,0.228623,0.0822073
168,0.227252,0.0794329
169,0.227252,0.0794329
170,0.227252,0.0794329
171,0.227252,0.0794329
172,0.220124,0.0858714
173,0.220124,0.0858714
174,0.220124,0.0858714
175,0.220124,0.0858714
176,0.216581,0.0653685
177,0.216581,0.0653685
178,0.216581,0.0653685
179,0.216581,0.0653685
180,0.220139,0.069879
181,0.220139,0.069879
182,0.220139,0.069879
183,0.220139,0.069879
184,0.218685,0.0347357
185,0.218685,0.0347357
186,0.218685,0.0347357
187,0.218685,0.0347357
188,0.215805,0.0230265
189,0.215805,0.0230265
190,0.215805,0.0230265
191,0.215805,0.0230265
192,0.215735,0.0239827
193,0.215735,0.0239827
194,0.215735,0.0239827
195,0.215735,0.0239827
196,0.214673,0.0253151
197,0.214673,0.0253151
198,0.214673,0.0253151
199,0.214673,0.0253151
200,0.214371,0.0254287
201,0.214371,0.0254287
202,0.214371,0.0254287
203,0.214371,0.0254287
204,0.214841,0.0316242
205,0.214841,0.0316242
206,0.214841,0.0316242
207,0.214841,0.0316242
208,0.214336,0.0227836
209,0.214336,0.0227836
210,0.214336,0.0227836
211,0.214336,0.0227836
212,0.214332,0.0178185
213,0.214332,0.0178185
214,0.214332,0.0178185
215,0.214332,0.0178185
216,0.213775,0.0267297
217,0.213775,0.0267297
218,0.213775,0.0267297
219,0.213775,0.0267297
220,0.214096,0.0307504
221,0.214096,0.0307504
222,0.214096,0.0307504
223,0.214096,0.0307504
224,0.214821,0.0656977
225,0.214821,0.0656977
226,0.214821,0.0656977
227,0.214821,0.0656977
228,0.214645,0.0333485
229,0.214645,0.0333485
230,0.214645,0.0333485
231,0.214645,0.0333485
232,0.216142,0.0235281
233,0.216142,0.0235281
234,0.216142,0.0235281
235,0.216142,0.0235281
236,0.21642,0.0224387
237,0.21642,0.0224387
238,0.21642,0.0224387
239,0.21642,0.0224387
240,0.21381,0.0196799
241,0.21381,0.0196799
242,0.21381,0.0196799
243,0.21381,0.0196799
244,0.211745,0.0097028
245,0.211745,0.0097028
246,0.211745,0.0097028
247,0.211745,0.0097028
248,0.213277,0.00576447
249,0.213277,0.00576447
250,0.213277,0.00576447
251,0.213277,0.00576447
252,0.212709,0.00981645
253,0.212709,0.00981645
254,0.212709,0.00981645
255,0.212709,0.00981645
256,0.215292,0.00790802
257,0.215292,0.00790802
258,0.215292,0.00790802
259,0.215292,0.00790802
260,0.215147,0.0338814
261,0.215147,0.0338814
262,0.215147,0.0338814
263,0.215147,0.0338814
264,0.215887,0.0197387
265,0.215887,0.0197387
266,0.215887,0.0197387
267,0.215887,0.0197387
268,0.216162,0.0169094
269,0.216162,0.0169094
270,0.216162,0.0169094
271,0.216162,0.0169094
272,0.213121,0.0256129
273,0.213121,0.0256129
274,0.213121,0.0256129
275,0.213121,0.0256129
276,0.216299,0.0142721
277,0.216299,0.0142721
278,0.216299,0.0142721
279,0.216299,0.0142721
280,0.22021,0.0138959
281,0.22021,0.0138959
282,0.22021,0.0138959
283,0.22021,0.0138959
284,0.224748,0.0268199
285,0.224748,0.0268199
286,0.224748,0.0268199
287,0.224748,0.0268199
288,0.222933,0.0204245
289,0.222933,0.0204245
290,0.222933,0.0204245
291,0.222933,0.0204245
292,0.218536,0.0112703
293,0.218536,0.0112703
294,0.218536,0.0112703
295,0.218536,0.0112703
296,0.21298,0.0207968
297,0.21298,0.0207968
298,0.21298,0.0207968
299,0.21298,0.0207968
300,0.209845,0.0303859
301,0.209845,0.0303859
302,0.209845,0.0303859
303,0.209845,0.0303859
304,0.209398,0.0392854
305,0.209398,0.0392854
306,0.209398,0.0392854
307,0.209398,0.0392854
308,0.210272,0.0251505
309,0.210272,0.0251505
310,0.210272,0.0251505
311,0.210272,0.0251505
312,0.212968,0.0133433
313,0.212968,0.0133433
314,0.212968,0.0133433
315,0.212968,0.0133433
316,0.214535,0.012344
317,0.214535,0.012344
318,0.214535,0.012344
319,0.214535,0.012344
320,0.21296,0.0208986
321,0.21296,0.0208986
322,0.21296,0.0208986
323,0.21296,0.0208986
324,0.214477,0.0299627
325,0.214477,0.0299627
326,0.214477,0.0299627
327,0.214477,0.0299627
328,0.214104,0.0237201
329,0.214104,0.0237201
330,0.214104,0.0237201
331,0.214104,0.0237201
332,0.21392,0.0158866
333,0.21392,0.0158866
334,0.21392,0.0158866
335,0.21392,0.0158866
336,0.213579,0.0174462
337,0.213579,0.0174462
338,0.213579,0.0174462
339,0.213579,0.0174462
340,0.217521,0.0126262
341,0.217521,0.0126262
342,0.217521,0.0126262
343,0.217521,0.0126262
344,0.222761,0.0612303
345,0.222761,0.0612303
346,0.222761,0.0612303
347,0.222761,0.0612303
348,0.2253,0.0236614
349,0.2253,0.0236614
350,0.2253,0.0236614
351,0.2253,0.0236614
352,0.22432,0.0238808
353,0.22432,0.0238808
354,0.22432,0.0238808
355,0.22432,0.0238808
356,0.225167,0.0275409
357,0.225167,0.0275409
358,0.225167,0.0275409
359,0.225167,0.0275409
360,0.226186,0.02479
361,0.226186,0.02479
362,0.226186,0.02479
363,0.226186,0.02479
364,0.225719,0.0243236
365,0.225719,0.0243236
366,0.225719,0.0243236
367,0.225719,0.0243236
368,0.224975,0.0237711
369,0.224975,0.0237711
370,0.224975,0.0237711
371,0.224975,0.0237711
372,0.224552,0.0240415
373,0.224552,0.0240415
374,0.224552,0.0240415
375,0.224552,0.0240415
376,0.223748,0.0267376
377,0.223748,0.0267376
378,0.223748,0.0267376
379,0.223748,0.0267376
380,0.222381,0.0201815
381,0.222381,0.0201815
382,0.222381,0.0201815
383,0.222381,0.0201815
384,0.229626,0.0244647
385,0.229626,0.0244647
386,0.229626,0.0244647
387,0.229626,0.0244647
388,0.236167,0.0254679
389,0.236167,0.0254679
390,0.236167,0.0254679
391,0.236167,0.0254679
392,0.240062,0.032984
393,0.240062,0.032984
394,0.240062,0.032984
395,0.240062,0.032984
396,0.242127,0.0360916
397,0.242127,0.0360916
398,0.242127,0.0360916
399,0.242127,0.0360916
400,0.243663,0.0405746
401,0.243663,0.0405746
402,0.243663,0.0405746
403,0.243663,0.0405746
404,0.247018,0.0490352
405,0.247018,0.0490352
406,0.247018,0.0490352
407,0.247018,0.0490352
408,0.262489,0.0653058
409,0.262489,0.0653058
410,0.262489,0.0653058
411,0.262489,0.0653058
412,0.28104,0.0861849
413,0.28104,0.0861849
414,0.28104,0.0861849
415,0.28104,0.0861849
416,0.297519,0.100614
417,0.297519,0.100614
418,0.297519,0.100614
419,0.297519,0.100614
420,0.306716,0.115368
421,0.306716,0.115368
422,0.306716,0.115368
423,0.306716,0.115368
424,0.327423,0.138363
425,0.327423,0.138363
426,0.327423,0.138363
427,0.327423,0.138363
428,0.341444,0.145589
429,0.341444,0.145589
430,0.341444,0.145589
431,0.341444,0.145589
432,0.358549,0.171899
433,0.358549,0.171899
434,0.358549,0.171899
435,0.358549,0.171899
436,0.368883,0.181089
437,0.368883,0.181089
438,0.368883,0.181089
439,0.368883,0.181089
440,0.374581,0.183428
441,0.374581,0.183428
442,0.374581,0.183428
443,0.374581,0.183428
444,0.36663,0.211585
445,0.36663,0.211585
446,0.36663,0.211585
447,0.36663,0.211585
448,0.379091,0.20555
449,0.379091,0.20555
450,0.379091,0.20555
451,0.379091,0.20555
452,0.389495,0.202058
453,0.389495,0.202058
454,0.389495,0.202058
455,0.389495,0.202058
456,0.395197,0.197665
