Frame_Num,Queue_Density,Dynamic_Density
1,0.0925667,0.0453048
2,0.0936116,0.0490064
3,0.0962683,0.0540098
4,0.100032,0.0562237
5,0.100669,0.0547359
6,0.103981,0.0545765
7,0.107798,0.0646807
8,0.108631,0.0714374
9,0.108338,0.0736336
10,0.107718,0.074652
11,0.107391,0.0687542
12,0.108613,0.0742092
13,0.110747,0.076981
14,0.111615,0.0748911
15,0.112297,0.0794605
16,0.113554,0.0791594
17,0.113421,0.0777603
18,0.114652,0.0792391
19,0.113244,0.0813202
20,0.114351,0.0811696
21,0.114989,0.0826131
22,0.116184,0.0843488
23,0.117929,0.0844993
24,0.122073,0.090893
25,0.124801,0.0953207
26,0.127094,0.09757
27,0.129866,0.100545
28,0.132,0.105088
29,0.132089,0.104548
30,0.134028,0.110844
31,0.134524,0.11018
32,0.13425,0.106594
33,0.13394,0.111686
34,0.134338,0.112669
35,0.134763,0.102644
36,0.135144,0.10531
37,0.135879,0.102175
38,0.136162,0.0944441
39,0.136499,0.100377
40,0.137402,0.0963657
41,0.137854,0.0875102
42,0.137827,0.0897329
43,0.13804,0.0779285
44,0.137765,0.104902
45,0.137712,0.084765
46,0.136889,0.0685771
47,0.138571,0.0602441
48,0.138775,0.0442599
49,0.138606,0.038796
50,0.138775,0.0441979
51,0.140617,0.0375385
52,0.1426,0.0290018
53,0.143256,0.0329248
54,0.144283,0.0374942
55,0.144575,0.0358294
56,0.144982,0.0333499
57,0.145186,0.0338812
58,0.145443,0.0300822
59,0.146355,0.0349173
60,0.144646,0.0324643
61,0.143805,0.0348819
62,0.144593,0.0392211
63,0.144841,0.0400623
64,0.143539,0.0435426
65,0.144159,0.0495643
66,0.148516,0.041063
67,0.149286,0.0403723
68,0.149047,0.0399649
69,0.149534,0.0521058
70,0.150774,0.0504764
71,0.151881,0.0466951
72,0.153758,0.0492986
73,0.154954,0.0531685
74,0.156202,0.0560111
75,0.157433,0.0552673
76,0.157982,0.0563831
77,0.160648,0.0547005
78,0.162941,0.0402483
79,0.168883,0.068152
80,0.171514,0.0797085
81,0.176003,0.0774503
82,0.181556,0.0560377
83,0.183761,0.0507864
84,0.188702,0.0677624
85,0.192625,0.049892
86,0.198,0.0836138
87,0.203827,0.0595622
88,0.210699,0.0939393
89,0.210478,0.110313
90,0.217483,0.104362
91,0.221777,0.102042
92,0.221777,0.111562
93,0.220617,0.106089
94,0.215871,0.13007
95,0.217279,0.1043
96,0.217314,0.114218
97,0.220113,0.115467
98,0.220857,0.117336
99,0.220812,0.116592
100,0.221503,0.106532
101,0.223584,0.115051
102,0.224558,0.116007
103,0.223876,0.115086
104,0.225081,0.11467
105,0.224284,0.120408
106,0.229535,0.126926
107,0.230571,0.133497
108,0.234113,0.138181
109,0.23739,0.13835
110,0.23901,0.0740409
111,0.243261,0.143158
112,0.247033,0.143176
113,0.249026,0.12318
114,0.254162,0.151323
115,0.257058,0.15475
116,0.257456,0.160241
117,0.256987,0.159771
118,0.25658,0.160125
119,0.253533,0.178651
120,0.255614,0.154918
121,0.255535,0.166599
122,0.254667,0.165208
123,0.255251,0.163358
124,0.254764,0.16589
125,0.255065,0.144309
126,0.256527,0.164562
127,0.256225,0.181556
128,0.257704,0.171266
129,0.260281,0.181414
130,0.263044,0.184204
131,0.264682,0.172328
132,0.262973,0.17487
133,0.264222,0.154963
134,0.263354,0.169362
135,0.265568,0.17278
136,0.265116,0.169096
137,0.268269,0.146762
138,0.268623,0.151146
139,0.272174,0.12566
140,0.273255,0.156264
141,0.272555,0.169521
142,0.270253,0.170522
143,0.269624,0.170486
144,0.265878,0.195406
145,0.266843,0.150951
146,0.266454,0.1546
147,0.266772,0.174232
148,0.267454,0.16845
149,0.266852,0.16133
150,0.265506,0.14802
151,0.26493,0.13533
152,0.265674,0.06809
153,0.263629,0.156486
154,0.261654,0.158071
155,0.25913,0.142893
156,0.258404,0.160878
157,0.254915,0.104566
158,0.25325,0.085987
159,0.253215,0.101307
160,0.251169,0.151438
161,0.251567,0.128192
162,0.248105,0.159302
163,0.246591,0.139058
164,0.24667,0.13092
165,0.24737,0.127874
166,0.246511,0.131991
167,0.246272,0.0991375
168,0.246281,0.107134
169,0.240746,0.125633
170,0.240321,0.0994386
