Frame_Num,Queue_Density,Dynamic_Density
3,0.117779,0.0875399
6,0.0951,0.0861321
9,0.0994172,0.0884686
12,0.0986308,0.0882775
15,0.102415,0.0906605
18,0.104766,0.0665044
21,0.105276,0.0774588
24,0.109955,0.0822341
27,0.116844,0.0946751
30,0.121246,0.0888534
33,0.122367,0.0754198
36,0.123615,0.0760308
39,0.124762,0.0778285
42,0.125988,0.0750833
45,0.126421,0.0862147
48,0.126843,0.0728
51,0.127034,0.0446176
54,0.130448,0.0317376
57,0.132259,0.0388993
60,0.132639,0.0452399
63,0.132179,0.036344
66,0.132549,0.032698
69,0.135528,0.0379077
72,0.13868,0.037374
75,0.142461,0.0405633
78,0.146561,0.0459777
81,0.156183,0.0698098
84,0.1673,0.0624614
87,0.181042,0.0809762
90,0.193963,0.0923863
93,0.200078,0.0938098
96,0.198058,0.121844
99,0.201388,0.100843
102,0.202558,0.0956522
105,0.202144,0.106475
108,0.208925,0.0934503
111,0.217669,0.0959982
114,0.227697,0.109471
117,0.233903,0.108254
120,0.232721,0.120137
123,0.233405,0.111947
126,0.233532,0.120838
129,0.236292,0.12216
132,0.241405,0.129995
135,0.243739,0.133202
138,0.244681,0.12856
141,0.249343,0.115726
144,0.248849,0.127864
147,0.248722,0.110152
150,0.245783,0.102456
153,0.242731,0.0905017
156,0.240856,0.101274
159,0.235711,0.0912071
162,0.230934,0.0988717
165,0.22761,0.0937441
168,0.227411,0.0827042
171,0.221116,0.100102
174,0.218568,0.0876942
177,0.216146,0.0877523
180,0.218284,0.0817799
183,0.2176,0.0769562
186,0.216428,0.0739333
189,0.215079,0.0633959
192,0.214949,0.0610983
195,0.213493,0.0636588
198,0.213374,0.0415164
201,0.213106,0.046168
204,0.213771,0.0505217
207,0.213571,0.0322264
210,0.213441,0.0371706
213,0.213565,0.0400062
216,0.212925,0.0369112
219,0.21281,0.0843593
222,0.213177,0.0406883
225,0.213728,0.0537406
228,0.213351,0.0468603
231,0.214417,0.0392518
234,0.215195,0.0354609
237,0.214768,0.0355077
240,0.213195,0.0334929
243,0.215277,0.0356824
246,0.210981,0.0748165
249,0.212417,0.0423197
252,0.211767,0.0462237
255,0.213104,0.0407951
258,0.214159,0.0367618
261,0.214048,0.0588735
264,0.214454,0.0432719
267,0.21511,0.0329919
270,0.213848,0.0887468
273,0.211873,0.0462023
276,0.213961,0.0402761
279,0.216245,0.0401569
282,0.220113,0.0406692
285,0.223961,0.0337478
288,0.223368,0.0347271
291,0.219216,0.0556856
294,0.216121,0.0595809
297,0.211825,0.0615258
300,0.209147,0.0874829
303,0.208072,0.0538017
306,0.208774,0.0467486
309,0.209466,0.040495
312,0.211305,0.0489891
315,0.213099,0.0496527
318,0.213861,0.0398075
321,0.212119,0.0802595
324,0.212937,0.0481731
327,0.212563,0.033531
330,0.212921,0.0518629
333,0.2125,0.0377695
336,0.212286,0.0335415
339,0.212725,0.033091
342,0.218022,0.0349994
345,0.221952,0.0694892
348,0.224216,0.0505683
351,0.224063,0.0467582
354,0.223262,0.0675863
357,0.223835,0.0611034
360,0.22439,0.0574632
363,0.224511,0.0496227
366,0.224379,0.0675509
369,0.22324,0.0790453
372,0.223059,0.0899893
375,0.222941,0.0583688
378,0.222285,0.0474291
381,0.221681,0.0507918
384,0.226491,0.050232
387,0.230588,0.0426744
390,0.235522,0.0682511
393,0.238445,0.0547808
396,0.23992,0.103164
399,0.241415,0.0786612
402,0.242415,0.0702247
405,0.246326,0.0703673
408,0.257295,0.0751999
411,0.268726,0.0781075
414,0.283546,0.0973343
417,0.296513,0.107547
420,0.303491,0.161633
423,0.314381,0.137117
426,0.328764,0.151438
429,0.340582,0.150296
432,0.352819,0.162201
435,0.362554,0.17398
438,0.368641,0.186653
441,0.372471,0.191506
444,0.369698,0.206643
447,0.371019,0.196395
450,0.380882,0.197494
453,0.387519,0.204187
456,0.391644,0.204227
459,0.393984,0.205119
462,0.395432,0.20123
465,0.396213,0.190749
468,0.395718,0.197015
471,0.396172,0.218611
474,0.398179,0.200165
477,0.397501,0.177769
480,0.396493,0.170363
483,0.397098,0.17427
486,0.397214,0.169469
489,0.3986,0.149288
492,0.399715,0.16697
495,0.396938,0.18205
498,0.399098,0.180245
501,0.411474,0.170715
504,0.424799,0.0952071
507,0.439984,0.113425
510,0.454123,0.121299
513,0.463168,0.117113
516,0.46893,0.123118
519,0.473904,0.160578
522,0.482047,0.156293
525,0.486155,0.125799
528,0.488889,0.12604
531,0.49285,0.133092
534,0.493648,0.132691
537,0.496097,0.128061
540,0.498634,0.116315
543,0.499807,0.111661
546,0.495941,0.145742
549,0.495382,0.126232
552,0.493051,0.120083
555,0.491495,0.124572
558,0.490174,0.111976
561,0.488741,0.114353
564,0.485647,0.140431
